index,provinceEnglishName,province_confirmedCount,province_curedCount,province_deadCount,updateTime
0,Hong Kong,1655,1254,10,2020/7/16
1,Xinjiang,77,73,3,2020/7/16
2,Beijing,929,752,9,2020/7/16
3,Sichuan,599,590,3,2020/7/16
4,Gansu,167,165,2,2020/7/16
5,Shanghai,732,691,7,2020/7/16
6,Hong Kong,1588,1229,8,2020/7/15
7,Beijing,929,729,9,2020/7/15
8,Shanghai,731,690,7,2020/7/15
9,Sichuan,599,589,3,2020/7/15
10,Guangdong,1650,1636,8,2020/7/15
11,Taiwan,451,440,7,2020/7/15
12,Hebei,349,340,6,2020/7/15
13,Shaanxi,321,315,3,2020/7/15
14,Shanxi,201,198,0,2020/7/15
15,Yunnan,188,183,2,2020/7/15
16,Chongqing,583,576,6,2020/7/15
17,Gansu,167,164,2,2020/7/15
18,Beijing,929,694,9,2020/7/13
19,Shanghai,725,689,7,2020/7/13
20,Neimenggu,249,237,1,2020/7/13
21,Guangdong,1650,1634,8,2020/7/13
22,Shandong,793,785,7,2020/7/13
23,Hong Kong,1469,1214,7,2020/7/12
24,Beijing,929,680,9,2020/7/12
25,Zhejiang,1270,1267,1,2020/7/12
26,Shanghai,724,689,7,2020/7/12
27,Tianjin,203,195,3,2020/7/12
28,Tianjin,202,195,3,2020/7/11
29,Beijing,929,669,9,2020/7/11
30,Hong Kong,1431,1197,7,2020/7/11
31,Shanghai,722,689,7,2020/7/11
32,Liaoning,164,150,2,2020/7/11
33,Sichuan,599,587,3,2020/7/11
34,Neimenggu,245,237,1,2020/7/11
35,Guangdong,1648,1634,8,2020/7/11
36,Taiwan,451,438,7,2020/7/11
37,Shanxi,200,198,0,2020/7/11
38,Fujian,363,361,1,2020/7/11
39,Hong Kong,1365,1167,7,2020/7/9
40,Liaoning,162,150,2,2020/7/9
41,Sichuan,599,582,3,2020/7/9
42,Shaanxi,321,314,3,2020/7/9
43,Beijing,929,645,9,2020/7/9
44,Hebei,349,339,6,2020/7/9
45,Guangdong,1647,1631,8,2020/7/9
46,Shanghai,721,689,7,2020/7/9
47,Gansu,167,162,2,2020/7/9
48,Chongqing,582,575,6,2020/7/9
49,Tianjin,199,195,3,2020/7/8
50,Hong Kong,1323,1167,7,2020/7/8
51,Gansu,167,159,2,2020/7/8
52,Beijing,929,613,9,2020/7/8
53,Guangdong,1645,1631,8,2020/7/8
54,Neimenggu,244,237,1,2020/7/8
55,Yunnan,187,183,2,2020/7/8
56,Shanxi,199,198,0,2020/7/8
57,Shanghai,718,688,7,2020/7/7
58,Beijing,929,600,9,2020/7/7
59,Hong Kong,1299,1161,7,2020/7/7
60,Sichuan,598,581,3,2020/7/7
61,Gansu,167,156,2,2020/7/7
62,Liaoning,159,150,2,2020/7/7
63,Guangdong,1644,1631,8,2020/7/7
64,Neimenggu,240,237,1,2020/7/7
65,Hong Kong,1285,1157,7,2020/7/6
66,Shanghai,716,685,7,2020/7/6
67,Shaanxi,321,313,3,2020/7/6
68,Liaoning,157,150,2,2020/7/6
69,Beijing,929,596,9,2020/7/6
70,Hong Kong,1268,1156,7,2020/7/5
71,Neimenggu,239,237,1,2020/7/5
72,Beijing,928,595,9,2020/7/5
73,Sichuan,596,581,3,2020/7/5
74,Hebei,349,337,6,2020/7/5
75,Shaanxi,320,311,3,2020/7/5
76,Shanghai,716,681,7,2020/7/5
77,Gansu,167,154,2,2020/7/5
78,Guangdong,1643,1631,8,2020/7/5
79,Liaoning,156,150,2,2020/7/5
80,Tianjin,199,194,3,2020/7/4
81,Fujian,363,360,1,2020/7/4
82,Gansu,164,154,2,2020/7/4
83,Beijing,926,594,9,2020/7/4
84,Shanghai,715,681,7,2020/7/4
85,Hebei,349,336,6,2020/7/4
86,Guangdong,1643,1629,8,2020/7/4
87,Liaoning,156,149,2,2020/7/4
88,Taiwan,449,438,7,2020/7/3
89,Hong Kong,1247,1125,7,2020/7/3
90,Beijing,925,592,9,2020/7/3
91,Shanghai,714,678,7,2020/7/3
92,Sichuan,595,581,3,2020/7/3
93,Gansu,164,153,2,2020/7/3
94,Liaoning,156,148,2,2020/7/3
95,Guangdong,1642,1629,8,2020/7/3
96,Chongqing,582,574,6,2020/7/3
97,Yunnan,186,183,2,2020/7/3
98,Hong Kong,1242,1117,7,2020/7/2
99,Taiwan,448,438,7,2020/7/2
100,Beijing,923,589,9,2020/7/2
101,Shaanxi,320,310,3,2020/7/2
102,Shanghai,713,677,7,2020/7/2
103,Guangdong,1642,1627,8,2020/7/2
104,Gansu,164,149,2,2020/7/1
105,Shanghai,712,677,7,2020/7/1
106,Hong Kong,1233,1117,7,2020/7/1
107,Shaanxi,320,309,3,2020/7/1
108,Fujian,363,359,1,2020/7/1
109,Sichuan,595,580,3,2020/7/1
110,Beijing,922,587,9,2020/7/1
111,Liaoning,155,148,2,2020/7/1
112,Taiwan,447,437,7,2020/7/1
113,Hong Kong,1205,1105,7,2020/6/30
114,Jiangsu,654,654,0,2020/6/30
115,Gansu,164,143,2,2020/6/30
116,Hebei,349,334,6,2020/6/30
117,Beijing,919,586,9,2020/6/30
118,Sichuan,595,578,3,2020/6/30
119,Shaanxi,320,308,3,2020/6/30
120,Guangdong,1641,1627,8,2020/6/30
121,Shanghai,712,675,7,2020/6/30
122,Beijing,912,586,9,2020/6/29
123,Hebei,349,333,6,2020/6/29
124,Tianjin,198,194,3,2020/6/29
125,Shanghai,708,675,7,2020/6/29
126,Sichuan,592,577,3,2020/6/29
127,Liaoning,155,147,2,2020/6/29
128,Guangdong,1637,1625,8,2020/6/29
129,Neimenggu,238,237,1,2020/6/28
130,Hong Kong,1199,1104,7,2020/6/28
131,Shaanxi,320,307,3,2020/6/28
132,Shanghai,707,675,7,2020/6/28
133,Beijing,905,585,9,2020/6/28
134,Hebei,349,331,6,2020/6/28
135,Gansu,163,140,2,2020/6/28
136,Hong Kong,1197,1095,7,2020/6/27
137,Hebei,349,326,6,2020/6/27
138,Beijing,891,585,9,2020/6/27
139,Gansu,162,139,2,2020/6/27
140,Guangdong,1637,1622,8,2020/6/27
141,Shanghai,706,674,7,2020/6/27
142,Hong Kong,1196,1091,7,2020/6/26
143,Shanghai,705,674,7,2020/6/26
144,Hainan,171,165,6,2020/6/26
145,Hebei,349,324,6,2020/6/26
146,Tianjin,198,193,3,2020/6/26
147,Gansu,161,139,2,2020/6/26
148,Macau,46,45,0,2020/6/26
149,Beijing,874,585,9,2020/6/26
150,Taiwan,447,435,7,2020/6/26
151,Shanghai,703,672,7,2020/6/25
152,Hebei,349,323,6,2020/6/25
153,Sichuan,589,575,3,2020/6/25
154,Beijing,863,584,9,2020/6/25
155,Guangdong,1635,1621,8,2020/6/25
156,Gansu,161,138,2,2020/6/24
157,Hong Kong,1179,1086,6,2020/6/24
158,Shanghai,703,670,7,2020/6/24
159,Shaanxi,319,307,3,2020/6/24
160,Guangdong,1634,1620,8,2020/6/24
161,Hebei,348,323,6,2020/6/24
162,Sichuan,589,573,3,2020/6/24
163,Beijing,850,584,9,2020/6/24
164,Hong Kong,1177,1083,6,2020/6/23
165,Shaanxi,317,307,3,2020/6/23
166,Taiwan,446,435,7,2020/6/23
167,Jiangsu,654,653,0,2020/6/23
168,Sichuan,589,572,3,2020/6/23
169,Beijing,843,584,9,2020/6/23
170,Hebei,346,323,6,2020/6/23
171,Tianjin,198,192,3,2020/6/23
172,Guangdong,1634,1619,8,2020/6/23
173,Neimenggu,238,236,1,2020/6/23
174,Gansu,158,137,2,2020/6/22
175,Hong Kong,1161,1078,5,2020/6/22
176,Tianjin,198,191,3,2020/6/22
177,Shanghai,701,669,7,2020/6/22
178,Shaanxi,317,306,3,2020/6/22
179,Hebei,346,322,6,2020/6/22
180,Beijing,830,584,9,2020/6/22
181,Liaoning,154,147,2,2020/6/22
182,Hong Kong,1131,1077,5,2020/6/21
183,Shaanxi,316,306,3,2020/6/21
184,Fujian,363,357,1,2020/6/21
185,Hebei,344,322,6,2020/6/21
186,Guangdong,1634,1614,8,2020/6/21
187,Beijing,821,584,9,2020/6/21
188,Neimenggu,238,235,1,2020/6/21
189,Hong Kong,1128,1077,5,2020/6/20
190,Liaoning,153,147,2,2020/6/20
191,Beijing,799,584,9,2020/6/20
192,Shanghai,698,668,7,2020/6/20
193,Sichuan,589,570,3,2020/6/20
194,Guangdong,1634,1613,8,2020/6/20
195,Hebei,341,322,6,2020/6/20
196,Shandong,792,785,7,2020/6/20
197,Fujian,362,357,1,2020/6/19
198,Liaoning,153,147,2,2020/6/19
199,Sichuan,589,569,3,2020/6/19
200,Beijing,777,584,9,2020/6/19
201,Gansu,151,137,2,2020/6/19
